
Epoch: 0- ROC-AUC: 0.517469 ; PR-AUC: 0.735453
Epoch: 0- ROC-AUC: 0.333333 ; PR-AUC: 0.633333
Epoch: 0- ROC-AUC: 0.598194 ; PR-AUC: 0.517741
Epoch: 0- ROC-AUC: 0.559775 ; PR-AUC: 0.586801
Epoch: 0- ROC-AUC: 0.654743 ; PR-AUC: 0.239023
Epoch: 0- ROC-AUC: 0.586012 ; PR-AUC: 0.149816
Epoch: 0- ROC-AUC: 0.569158 ; PR-AUC: 0.600806
Epoch: 0- ROC-AUC: 0.484454 ; PR-AUC: 0.505398
Epoch: 0- ROC-AUC: 0.000000 ; PR-AUC: 0.166667
Epoch: 0- ROC-AUC: 0.630025 ; PR-AUC: 0.616259
Epoch: 0- ROC-AUC: 0.598966 ; PR-AUC: 0.607336
Epoch: 0- ROC-AUC: 0.979730 ; PR-AUC: 0.965203
Epoch: 0- ROC-AUC: 0.736447 ; PR-AUC: 0.691753
Epoch: 0- ROC-AUC: 0.933565 ; PR-AUC: 0.911729
Epoch: 0- ROC-AUC: 0.963582 ; PR-AUC: 0.927302
Epoch: 0- ROC-AUC: 0.250000 ; PR-AUC: 0.430528
Epoch: 0- ROC-AUC: 0.784673 ; PR-AUC: 0.761673
Epoch: 0- ROC-AUC: 0.969123 ; PR-AUC: 0.933751
Epoch: 0- ROC-AUC: 0.965533 ; PR-AUC: 0.930336
Epoch: 0- ROC-AUC: 0.973140 ; PR-AUC: 0.945038
Epoch: 0- ROC-AUC: 0.982380 ; PR-AUC: 0.966074
Epoch: 0- ROC-AUC: 0.974345 ; PR-AUC: 0.955349
Epoch: 0- ROC-AUC: 0.948923 ; PR-AUC: 0.923698
Epoch: 1- ROC-AUC: 0.972816 ; PR-AUC: 0.947721
Epoch: 0- ROC-AUC: 0.961380 ; PR-AUC: 0.918404
Epoch: 1- ROC-AUC: 0.973190 ; PR-AUC: 0.956634
Epoch: 2- ROC-AUC: 0.982790 ; PR-AUC: 0.973220
Epoch: 0- ROC-AUC: 0.976821 ; PR-AUC: 0.952262
Epoch: 1- ROC-AUC: 0.977925 ; PR-AUC: 0.956866
Epoch: 2- ROC-AUC: 0.980158 ; PR-AUC: 0.961878
Epoch: 0- ROC-AUC: 0.970413 ; PR-AUC: 0.935982
Epoch: 1- ROC-AUC: 0.976112 ; PR-AUC: 0.950076
Epoch: 2- ROC-AUC: 0.980945 ; PR-AUC: 0.962974
Epoch: 3- ROC-AUC: 0.982889 ; PR-AUC: 0.969640
Epoch: 0- ROC-AUC: 0.981414 ; PR-AUC: 0.963260
Epoch: 1- ROC-AUC: 0.981566 ; PR-AUC: 0.970528
Epoch: 2- ROC-AUC: 0.984271 ; PR-AUC: 0.976243
Epoch: 0- ROC-AUC: 0.984166 ; PR-AUC: 0.972898
Epoch: 1- ROC-AUC: 0.983534 ; PR-AUC: 0.970906
Epoch: 2- ROC-AUC: 0.980393 ; PR-AUC: 0.966895
Epoch: 0- ROC-AUC: 0.981755 ; PR-AUC: 0.968926
Epoch: 1- ROC-AUC: 0.984342 ; PR-AUC: 0.975416
Epoch: 2- ROC-AUC: 0.982664 ; PR-AUC: 0.969155
Epoch: 0- ROC-AUC: 0.980282 ; PR-AUC: 0.963262
Epoch: 1- ROC-AUC: 0.980687 ; PR-AUC: 0.962902
Epoch: 2- ROC-AUC: 0.980477 ; PR-AUC: 0.962322
Epoch: 0- ROC-AUC: 0.979252 ; PR-AUC: 0.957552
Epoch: 1- ROC-AUC: 0.979545 ; PR-AUC: 0.958898
Epoch: 2- ROC-AUC: 0.980782 ; PR-AUC: 0.962331
Epoch: 3- ROC-AUC: 0.980079 ; PR-AUC: 0.959866
Epoch: 0- ROC-AUC: 0.977722 ; PR-AUC: 0.955277
Epoch: 1- ROC-AUC: 0.978142 ; PR-AUC: 0.957271
Epoch: 0- ROC-AUC: 0.985148 ; PR-AUC: 0.976033
Epoch: 1- ROC-AUC: 0.985562 ; PR-AUC: 0.973470
Epoch: 2- ROC-AUC: 0.983978 ; PR-AUC: 0.972082
Epoch: 0- ROC-AUC: 0.981329 ; PR-AUC: 0.967621
Epoch: 1- ROC-AUC: 0.986852 ; PR-AUC: 0.980355
Epoch: 2- ROC-AUC: 0.986998 ; PR-AUC: 0.978837
Epoch: 0- ROC-AUC: 0.980000 ; PR-AUC: 0.966282
Epoch: 1- ROC-AUC: 0.985665 ; PR-AUC: 0.978102
Epoch: 2- ROC-AUC: 0.983268 ; PR-AUC: 0.973320
Epoch: 0- ROC-AUC: 0.979446 ; PR-AUC: 0.963257
Epoch: 1- ROC-AUC: 0.985489 ; PR-AUC: 0.976696
Epoch: 2- ROC-AUC: 0.984937 ; PR-AUC: 0.974137
